,count
1291,576
1292,452
1293,537
1294,561
1295,599
1296,552
1297,452
1298,546
1299,516
1300,593
1301,578
1302,616
1303,599
1304,499
1305,590
1306,576
1307,601
1308,614
1309,582
1310,601
1311,590
1312,601
1313,559
1314,516
1315,544
1316,599
1317,467
1318,620
1319,576
1320,657
1321,620
1322,578
1323,569
1324,554
1325,654
1326,695
1327,571
1328,652
1329,509
1330,559
1331,667
1332,571
1333,620
1334,606
1335,667
1336,608
1337,669
1338,627
1339,590
1340,646
1341,729
1342,629
1343,652
1344,582
1345,674
1346,706
1347,541
1348,757
1349,614
1350,593
1351,757
1352,559
1353,740
1354,680
1355,1037
1356,638
1357,599
1358,669
1359,622
1360,627
1361,719
1362,637
1363,721
1364,590
1365,622
1366,695
1367,659
1368,669
1369,706
1370,680
1371,774
1372,650
1373,697
1374,644
1375,665
1376,733
1377,637
1378,669
1379,710
1380,606
1381,787
1382,608
1383,669
1384,744
1385,687
1386,638
1387,620
1388,563
1389,601
1390,638
1391,659
1392,567
1393,650
1394,582
1395,590
1396,736
1397,834
1398,725
1399,616
1400,597
1401,608
1402,578
1403,695
1404,644
1405,644
1406,750
1407,614
1408,652
1409,631
1410,567
1411,691
1412,597
1413,714
1414,661
1415,672
1416,774
1417,608
1418,827
1419,642
1420,725
1421,650
1422,734
1423,719
1424,787
1425,689
1426,635
1427,599
1428,783
1429,695
1430,704
1431,684
1432,582
1433,682
1434,637
1435,687
1436,665
1437,644
1438,729
1439,706
1440,812
1441,682
1442,797
1443,748
1444,721
1445,669
1446,813
1447,680
1448,712
1449,772
1450,712
1451,704
1452,718
1453,765
1454,704
1455,721
1456,652
1457,680
1458,761
1459,751
1460,776
1461,855
1462,825
1463,765
1464,757
1465,712
1466,582
1467,674
1468,783
1469,765
1470,687
1471,642
1472,593
1473,795
1474,695
1475,680
1476,727
1477,644
1478,768
1479,748
1480,652
1481,652
1482,680
1483,812
1484,710
1485,750
1486,765
1487,761
1488,702
1489,748
1490,727
1491,755
1492,768
1493,795
1494,736
1495,614
1496,608
1497,608
1498,593
1499,859
1500,768
1501,702
1502,797
1503,797
1504,714
1505,1145
1506,798
1507,766
1508,687
1509,949
1510,750
1511,706
1512,721
1513,840
1514,783
1515,755
1516,851
1517,712
1518,765
1519,750
1520,736
1521,706
1522,727
1523,736
1524,721
1525,780
1526,795
1527,699
1528,765
1529,736
1530,593
1531,684
1532,736
1533,791
1534,774
1535,736
1536,744
1537,697
1538,742
1539,768
1540,774
1541,714
1542,748
1543,774
1544,772
1545,755
1546,742
1547,734
1548,780
1549,695
1550,757
1551,812
1552,721
1553,695
1554,691
1555,714
1556,622
1557,665
1558,768
1559,704
1560,802
1561,768
1562,704
1563,759
1564,706
1565,733
1566,695
1567,750
1568,834
1569,712
1570,736
1571,740
1572,840
1573,704
1574,780
1575,780
1576,781
1577,744
1578,774
1579,712
1580,704
1581,699
1582,691
1583,885
1584,806
1585,783
1586,691
1587,759
1588,780
1589,710
1590,684
1591,759
1592,704
1593,727
1594,736
1595,710
1596,682
1597,740
1598,682
1599,706
1600,766
1601,795
1602,684
1603,768
1604,729
1605,721
1606,757
1607,687
1608,657
1609,714
1610,665
1611,684
1612,765
1613,706
1614,665
1615,706
1616,795
1617,702
1618,665
1619,719
1620,676
1621,725
1622,674
1623,757
1624,704
1625,650
1626,795
1627,695
1628,757
1629,637
1630,676
1631,727
1632,721
1633,776
1634,665
1635,706
1636,748
1637,806
1638,798
1639,750
1640,650
1641,736
1642,704
1643,819
1644,680
1645,687
1646,620
1647,725
1648,721
1649,695
1650,623
1651,817
1652,697
1653,646
1654,680
1655,857
1656,644
1657,718
1658,612
1659,706
1660,687
1661,684
1662,795
1663,719
1664,733
1665,593
1666,697
1667,729
1668,810
1669,606
1670,644
1671,665
1672,768
1673,721
1674,629
1675,834
1676,896
1677,781
1678,819
1679,736
1680,718
1681,755
1682,691
1683,802
1684,827
1685,806
1686,761
1687,674
1688,702
1689,765
1690,748
1691,849
1692,864
1693,740
1694,797
1695,695
1696,761
1697,761
1698,834
1699,774
1700,804
1701,680
1702,680
1703,783
1704,712
1705,736
1706,714
1707,759
1708,757
1709,644
1710,776
1711,623
1712,729
1713,819
1714,813
1715,742
1716,755
1717,806
1718,765
1719,791
1720,821
1721,791
1722,829
1723,821
1724,736
1725,759
1726,893
1727,819
1728,819
1729,727
1730,748
1731,849
1732,812
1733,827
1734,765
1735,806
1736,941
1737,774
1738,896
1739,776
1740,740
1741,864
1742,821
1743,896
1744,847
1745,864
1746,834
1747,813
1748,955
1749,908
1750,919
1751,787
1752,862
1753,930
1754,766
1755,870
1756,847
1757,870
1758,909
1759,729
1760,874
1761,887
1762,791
1763,859
1764,893
1765,949
1766,810
1767,864
1768,956
1769,879
1770,877
1771,987
1772,902
1773,934
1774,874
1775,919
1776,908
1777,877
1778,955
1779,832
1780,877
1781,851
1782,904
1783,1019
1784,919
1785,902
1786,821
1787,864
1788,877
1789,872
1790,844
1791,917
1792,977
1793,975
1794,896
1795,964
1796,941
1797,894
1798,885
1799,849
1800,919
1801,949
1802,872
1803,964
1804,821
1805,1135
1806,926
1807,904
1808,855
1809,934
1810,955
1811,1024
1812,877
1813,925
1814,877
1815,896
1816,866
1817,849
1818,887
1819,787
1820,1024
1821,909
1822,849
1823,900
1824,908
1825,1192
1826,1069
1827,877
1828,953
1829,934
1830,1022
1831,917
1832,900
1833,1045
1834,949
1835,1167
1836,851
1837,925
1838,949
1839,1069
1840,1184
1841,994
1842,1026
1843,932
1844,1071
1845,1049
1846,930
1847,889
1848,998
1849,1000
1850,949
1851,917
1852,941
1853,964
1854,932
1855,1131
1856,975
1857,893
1858,1005
1859,968
1860,1207
1861,977
1862,962
1863,992
1864,1030
1865,1177
1866,1030
1867,1075
1868,1002
1869,972
1870,1135
1871,1137
1872,949
1873,894
1874,911
1875,1244
1876,1197
1877,1037
1878,968
1879,1064
1880,1211
1881,998
1882,1090
1883,1017
1884,1045
1885,1218
1886,968
1887,975
1888,1115
1889,1045
1890,1158
1891,1032
1892,940
1893,992
1894,1054
1895,1214
1896,992
1897,1005
1898,1075
1899,998
1900,1233
1901,1019
1902,932
1903,934
1904,1017
1905,1212
1906,1000
1907,1034
1908,1086
1909,1101
1910,1248
1911,1060
1912,1032
1913,1143
1914,1047
1915,1290
1916,949
1917,1090
1918,1047
1919,1022
1920,1220
1921,1120
1922,940
1923,1030
1924,1045
1925,1265
1926,1019
1927,1005
1928,1094
1929,1062
1930,1175
1931,1075
1932,1068
1933,1109
1934,1009
1935,1297
1936,1009
1937,1068
1938,1064
1939,1098
1940,1288
1941,1147
1942,1024
1943,1105
1944,1022
1945,1275
1946,1147
1947,998
1948,1124
1949,1062
1950,1162
1951,1162
1952,1079
1953,1124
1954,1094
1955,1545
1956,1092
1957,987
1958,992
1959,1145
1960,1310
1961,1105
1962,1045
1963,1109
1964,1034
1965,1288
1966,1105
1967,1147
1968,1152
1969,1115
1970,1259
1971,1077
1972,992
1973,1069
1974,1075
1975,1310
1976,1109
1977,1019
1978,1162
1979,1017
1980,1337
1981,1047
1982,1056
1983,1147
1984,1169
1985,1280
1986,1124
1987,1026
1988,1090
1989,1069
1990,1288
1991,1115
1992,1222
1993,1190
1994,1177
1995,1355
1996,1229
1997,1079
1998,1092
1999,1077
2000,1312
2001,1109
2002,1107
2003,1284
2004,1195
2005,1241
2006,1195
2007,1075
2008,1190
2009,1227
2010,1207
2011,1188
2012,1258
2013,1205
2014,1175
2015,1370
2016,1130
2017,1162
2018,1229
2019,1162
2020,1203
2021,1056
2022,1282
2023,1207
2024,1098
2025,1410
2026,1248
2027,1256
2028,1241
2029,1205
2030,1314
